,Titulo,Director,Pais,Año,Genero,Duración (Minutos),Protagonistas,Idioma,Producción,Guion,Música,Fotografía,Vestuario,Productora,Presupuesto (Dólares),Recaudación (Dólares),Ganador,MF_Director,MF_Pais,MF_Genero,MF_Protagonistas,MF_Idioma,MF_Producción,MF_Guion,MF_Música,MF_Fotografía,MF_Vestuario,MF_Productora,st_Duración,st_Presupuesto,st_Recaudación
147,Fresa y chocolate,Tomás Gutiérrez Alea,,1994,Drama,108.0,"Jorge Perugorría, Vladimir Cruz, Mirtha Ibarra",español,Fernando Pérez O'Reilly,Senel Paz,José María Vitier,Mario García Joya,,,,,0,tomas gutierrez,,drama,jorge perugorria,espanol,fernando perez,senel paz,jose maria,mario garcia,,,-0.2894919103872435,,
148,Antonia's Line,Marleen Gorris,Holanda,1995,Comedia,102.0,"Willeke van Ammelrooy, Els Dottermans, Victor Löw",Holandés,"Gerard Cornelisse, Hans De Weers, Hans de Wolf",Marleen Gorris,Ilona Sekacz,Willy Stassen,,,,,1,marleen gorris,holanda,comedia,willeke van,holandes,gerard cornelisse,marleen gorris,ilona sekacz,willy stassen,,,-0.4575448461412073,,
149,El cuarteto,Dustin Hoffman,Reino Unido,1995,Comedia,98.0,Maggie Smith Tom Courtenay  Billy Connolly  Pauline Collins  Michael Gambon,Inglés,Finola Dwyer  Stewart Mackinnon,Ronald Harwood,Dario Marianelli,John de Borman,,BBC Films,11000000.0,,0,dustin hoffman,reino unido,comedia,maggie smith,ingles,finola dwyer,ronald harwood,dario marianelli,john de,,bbc films,-0.5695801366438499,-0.13493431465143266,
150,L'uomo delle stelle,Giuseppe Tornatore,Italia,1995,Drama,113.0,"Sergio Castellitto, Tiziana Lodato",Italiano,Rita Cecchi Gori  Vittorio Cecchi Gori,Fabio Rinaudo  Giuseppe Tornatore,Ennio Morricone,Dante Spinotti,Beatrice Bordone,Cecchi Gori Group Tiger Cinematografica,,,0,giuseppe tornatore,italia,drama,sergio castellitto,italiano,rita cecchi,fabio rinaudo,ennio morricone,dante spinotti,beatrice bordone,cecchi gori,-0.14944779725894028,,
151,Kolya,Jan Svěrák,República Checa,1996,Comedia dramática,105.0,"Zdeněk Svěrák, Andrej Chalimon, Libuše ŠafránkováOndřej VetchýStella ZázvorkováLadislav Smoljak",Checo,"Eric Abraham, Jan Svěrák","Pavel Taussig, Zdeněk Svěrák",Ondřej Soukup,Vladimír Smutný,Katarina Hollá,"Biograf Jan Svěrák, Portobello Pictures",,,1,jan sverak,republica checa,comedia dramatica,zdenek sverak,checo,eric abraham,pavel taussig,ondrej soukup,vladimir smutny,katarina holla,biograf jan,-0.3735183782642254,,
152,El prisionero de las montañas,Sergéi Bodrov,Rusia,1996,Drama,98.0,"Oleg Menshikov Sergei Bodrov, Jr. Dzhemal Sikharulidze, Susanna Mekhralieva",rusoárabe,Boris Giller,"Boris Giller, Arif Aliyev, Sergei Bodrov",Leonid Desyatnikov,Pavel Lebeshev,,BG Productions,,661361.0,0,sergei bodrov,rusia,drama,oleg menshikov,rusoarabe,boris giller,boris giller,leonid desyatnikov,pavel lebeshev,,bg productions,-0.5695801366438499,,-0.11964011426492105
153,Ridicule,Patrice Leconte,Francia,1996,Comedia,102.0,"Charles Berling, Jean Rochefort, Fanny Ardant, Judith Godreche",francés,"Frédéric Brillion, Philippe Carcassonne, Gilles Legrand","Rémi Waterhouse, Michel Fessler, Eric Vicaut",Antoine Duhamel,Thierry Arbogast,Christian Gasc,,50000000.0,,0,patrice leconte,francia,comedia,charles berling,frances,frederic brillion,remi waterhouse,antoine duhamel,thierry arbogast,christian gasc,,-0.4575448461412073,-0.13492020436722707,
154,Carácter,Mike van Diem,Países Bajos,1997,Drama,122.0,"Jan Decleir, Jonathan Maxwell Reeves, Fedja van Huêt, Victor Löw",Alemán,Laurens Geels,"Ferdinand Bordewijk, Mike van Diem",Paleis van Boem,Rogier Stoffers,,,,,1,mike van,paises bajos,drama,jan decleir,aleman,laurens geels,ferdinand bordewijk,paleis van,rogier stoffers,,,0.10263160637200545,,
155,Jenseits der Stille,Caroline Link,Alemania,1997,Drama,112.0,"Sylvie Testud, Howie Seago, Emmanuelle Laborit, Sibylle Canonica, Matthias Habich, Alexandra Bolz, Birge Schade",Alemán,"Jakob Claussen, Thomas Wöbke, Luggi Waldleitner","Caroline Link, Beth Serlin",Niki Reiser,Gernot Roll,Katharina von Martius,"Claussen & Wöbke Filmproduktion, Roxy Film",,,0,caroline link,alemania,drama,sylvie testud,aleman,jakob claussen,caroline link,niki reiser,gernot roll,katharina von,claussen &,-0.17745661988460093,,
156,Cuatro días de septiembre,Bruno Barreto,"Brasil, Estados Unidos",1997,acción,110.0,"Claudia Abreu, Pedro Cardoso, Luis Fernando Guimaraes, Alan Arkin, Nelson Dantas, Fernanda Torres",portuguésinglés,"Lucy Barreto, Luiz Carlos Barreto","Leopoldo Serran, Fernando Gabeira","Stewart Copeland, Pietro Mascagni",Félix Monti,Emilia Duncan,,,1800000.0,0,bruno barreto,brasil,accion,claudia abreu,portuguesingles,lucy barreto,leopoldo serran,stewart copeland,felix monti,emilia duncan,,-0.2334742651359222,,-0.1196400769888276
157,Secretos del corazón,Montxo Armendáriz,España,1997,Drama,105.0,"Carmelo Gómez, Andoni Erburu, Charo López, Sílvia Munt  Joan Dalmau",Español,"Imanol Uribe, Andrés Santana",Montxo Armendáriz,Bingen Mendizabal,Javier Aguirresarobe,,Aiete Films y Ariane Films,1727000.0,,0,montxo armendariz,espana,drama,carmelo gomez,espanol,imanol uribe,montxo armendariz,bingen mendizabal,javier aguirresarobe,,aiete films,-0.3735183782642254,-0.13493766964285417,
158,Vor: el ladrón,Pável Chujrái,Rusia,1997,Crímenes,96.0,"Vladimir Mashkov, Yekaterina Rednikova, Mikhail Filipchuk, Yury Belyayev",Ruso,"Igor Tolstunov, Sergey Kozlov",Pável Chujrái,Vladimir Dashkevich,Vladimir Klimov,Natalya Moneva,"NTV-Profit, Roissy Films, Productions Le Pont",,,0,pavel chujrai,rusia,crimenes,vladimir mashkov,ruso,igor tolstunov,pavel chujrai,vladimir dashkevich,vladimir klimov,natalya moneva,ntv-profit,-0.6255977818951711,,
159,La vida es bella,Roberto Benigni,Italia,1998,Drama,116.0,"Roberto Benigni Nicoletta Braschi, Giorgio Cantarini",Italiano,"Elda Ferri, Gianluigi Braschi","Roberto Benigni, Vincenzo Cerami","Nicola Piovani, Jacques Offenbach",Tonino Delli Colli,Danilo Donati,"Melampo Cinematografica, Cecchi Gori Group, Miramax",20000000.0,229163264.0,1,roberto benigni,italia,drama,roberto benigni,italiano,elda ferri,roberto benigni,nicola piovani,tonino delli,danilo donati,melampo cinematografica,-0.06542132938195837,-0.1349310584320006,-0.11963263370410299
160,Central do Brasil,Walter Salles,"Brasil, Francia",1998,Drama,115.0,"Fernanda Montenegro, Marília Pêra Vinicius de Oliveira, Soia Lira","Portugués, Alemán",Videofilmes - MACT Productions,"Joáo Emanuel Carneiro, Marcos Bernstein","Antonio Pinto, Jaques Morelenbaum",Walter Carvalho,,,,22000000.0,0,walter salles,brasil,drama,fernanda montenegro,portugues,videofilmes -,joao emanuel,antonio pinto,walter carvalho,,,-0.093430152007619,,-0.11963941569311609
161,Bacheha-Ye aseman,Majid Majidi,Irán,1998,drama,89.0,Amir Farrokh Hashemian Bahare Seddiqi,persa,Amir Esfandiari y Mohammad Esfandiari,Majid Majidi,,Parviz Malekzaade,,,150000.0,1628579.0,0,majid majidi,iran,drama,amir farrokh,persa,amir esfandiari,majid majidi,,parviz malekzaade,,,-0.8216595402747956,-0.1349382402048591,-0.11964008260070741
162,El abuelo,José Luis Garci,España,1998,Drama,146.0,"Fernando Fernán Gómez, Rafael Alonso, Cayetana Guillén Cuervo, Agustín González, Cristina Cruz Mínguez, Alicia Rozas, Fernando Guillén, Francisco Algora, Emma Cohen, María Massip, Antonio Valero, Francisco Piquer",Español,José Luis Garci,"José Luis Garci, Horacio Valcárcel",Manuel Balboa,Raúl Pérez Cubero,Gumersindo Andrés López,,,,0,jose luis,espana,drama,fernando fernan,espanol,jose luis,jose luis,manuel balboa,raul perez,gumersindo andres,,0.7748433493878607,,
163,Tango,Carlos Saura,España,1998,Musical,115.0,"Miguel Ángel SoláCecilia Narova, Mía Maestro, Juan Carlos Copes, Carlos Rivarola, Sandra Ballesteros, Oscar Cardozo Ocampo, Enrique Pinti, Julio Bocca, Juan Luis Galiardo, Martín Seefeld, Néstor Marconi, Juanjo Domínguez, Horacio Salgán, Ubaldo de Lío, Antonio Agri, Sebastián Arce, Eduardo Cutuli, Mabel Pesen, Ricardo Díaz Mourelle, Julio Marticorena, Nora Zinski, Elvira Onetto, Cynthia Avila, Jorge Dorio",Español,Carlos Mentasti Luis A. Scalella,Carlos Saura,Lalo Schifrin,Vittorio Storaro,Beatriz De Benedetto,"Argentina Sono Film, Adela Pictures, Alma Ata International Pictures S.L.Hollywood Partners",4685408.0,1687311.0,0,carlos saura,espana,musical,miguel angel,espanol,carlos mentasti,carlos saura,lalo schifrin,vittorio storaro,beatriz de,argentina sono,-0.093430152007619,-0.1349365992844522,-0.11964008067797377
164,Todo sobre mi madre,Pedro Almodóvar,España,1999,Comedia dramática,101.0,"Cecilia Roth, Marisa Paredes, Candela Peña, Antonia San Juan, Penélope Cruz",Español,"Pedro Almodóvar, Agustín Almodóvar",Pedro Almodóvar,Alberto Iglesias,Affonso Beato,Bina Daigeler,"El Deseo, Renn Productions, France 2 Cinéma, Vía Digital",4000000.0,67872296.0,1,pedro almodovar,espana,comedia dramatica,cecilia roth,espanol,pedro almodovar,pedro almodovar,alberto iglesias,affonso beato,bina daigeler,el deseo,-0.48555366876686795,-0.13493684726654648,-0.1196379139528873
165,La vida prometida,Olivier Dahan,Francia,1999,Drama,,"Isabelle Huppert, Pascal Greggory, Maud Forget, Fabienne Babe, André Marcon, Abdelkader, Denis Braccini, Frédéric Maranber, Irène Ismaïloff, Janine Souchon, Louis-Do de Lencquesaing, Volker Marek",Francés,,,,,Gigi Lepage,,,,0,olivier dahan,francia,drama,isabelle huppert,frances,,,,,gigi lepage,,,,
166,Wò hǔ cáng lóng,Ang Lee,"Taiwán, Hong Kong, China, Estados Unidos",2000,Wuxia,120.0,"Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chang Chen, Cheng Pei-pei",chino mandarín,"Li-Kong Hsu, William Kong, Ang Lee","Hui-Ling Wang, James Schamus, Kuo Jung Tsai, Wang Du Lu",Tan Dun,Peter Pau,Timmy Yip,"Columbia Pictures, Tri, Star Pictures",17000000.0,213500000.0,1,ang lee,taiwan,wuxia,chow yun-fat,chino mandarin,li-kong hsu,hui-ling wang,tan dun,peter pau,timmy yip,columbia pictures,0.04661396112068417,-0.13493214383847796,-0.11963314647882137
167,Amores Perros,Alejandro González Iñárritu,México,2000,Drama,154.0,"Emilio Echevarría, Gael García Bernal, Goya ToledoÁlvaro Guerrero",Español,Alejandro González Iñárritu,Guillermo Arriaga,Gustavo Santaolalla,Rodrigo Prieto,Gabriela Diaque,"Altavista Films, Zeta Films",2400000.0,20908467.0,0,alejandro gonzalez,mexico,drama,emilio echevarria,espanol,alejandro gonzalez,guillermo arriaga,gustavo santaolalla,rodrigo prieto,gabriela diaque,altavista films,0.9989139303931458,-0.13493742615000107,-0.11963945142708104
168,Para todos los gustos,Agnès Jaoui,Francia,2000,Comedia dramática,112.0,"Agnès Jaoui, Jean-Pierre Bacri, Anne Alvaro, Alain Chabat, Gérard Lanvin, Brigitte Catillon, Christiane Millet",Francés,"Christian Bérard, Charles Gassot","Agnès Jaoui, Jean-Pierre Bacri",,Laurent Dailland,Jackie Budin,"Téléma, Les Films A4France 2 Cinéma",9000000.0,23600000.0,0,agnes jaoui,francia,comedia dramatica,agnes jaoui,frances,christian berard,agnes jaoui,,laurent dailland,jackie budin,telema,-0.17745661988460093,-0.1349350382557509,-0.11963936331325777
169,En tierra de nadie,Danis Tanović,"Bosnia y Herzegovina, Eslovenia, Bélgica, Francia, Italia, Reino Unido",2001,Bélico,98.0,"Branko Djuric, Rene Bitorajac, Filip Sovagovic, Katrin Cartlidge, Simon Callow, Serge-Henri Valche, Georges Siatidis","Bosnio, Serbio, Croata, Francés, Inglés, Alemán","Cédomir Kolar, Marc Baschet, Frédérique Dumas-Zajdela",Danis Tanović,Danis Tanović,Walther Vanden Ende,,"Fabrica, Man's Films, Studio Maj",14000000.0,,1,danis tanovic,bosnia y,belico,branko djuric,bosnio,cedomir kolar,danis tanovic,danis tanovic,walther vanden,,fabrica,-0.5695801366438499,-0.13493322924495532,
170,Amélie,Jean-Pierre Jeunet,Francia,2001,Comedia,122.0,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta",Francés,"Claudie Ossard, Arne Meerkamp van Embden",Guillaume Laurant,Yann Tiersen,Bruno Delbonnel,Madeline Fontaine,"Claudie Ossard Productions, Union Générale Cinématographique",77000000.0,174605902.0,0,jean-pierre jeunet,francia,comedia,audrey tautou,frances,claudie ossard,guillaume laurant,yann tiersen,bruno delbonnel,madeline fontaine,claudie ossard,0.10263160637200545,-0.13491043570893088,-0.119634419770911
171,Elling,Petter Naess,Noruega,2001,Comedia dramática,89.0,"Per Christian Ellefsen, Sven Nordin, Marit Pia Jacobsen, Jørgen Langhelle, Per Christensen",Noruego,Dag Alveberg,Axel Hellstenius,Lars Lillo-Stenberg,Svein Krøvel,,"Maipo Film- og TV Produksjon, TNT Film Productions",,,0,petter naess,noruega,comedia dramatica,per christian,noruego,dag alveberg,axel hellstenius,lars lillo-stenberg,svein krovel,,maipo film-,-0.8216595402747956,,
172,Lagaan,Ashutosh Gowariker,India,2001,"Drama, Musical.",224.0,"Aamir Khan, Paul Blackthorne",Hindi,"Aamir Khan, Jhamu Sughand","Ashutosh Gowariker, Kumar Dave, Sanjay Dayma, K. P. Saxena",A. R. Rahman,Anil Mehta,,Aamir Khan Productions,250000000.0,,0,ashutosh gowariker,india,drama,aamir khan,hindi,aamir khan,ashutosh gowariker,a. r.,anil mehta,,aamir khan,2.9595315141893903,-0.1348478439354035,
173,El hijo de la novia,Juan José Campanella,Argentina,2001,"Drama, romance",123.0,"Ricardo Darín, Héctor Alterio, Norma Aleandro, Natalia Verbeke, Eduardo Blanco",español,Adrián Suar,Juan José Campanella  Fernando Castets,Ángel Illarramendi  Iván Wyszogrod,Daniel Shulman,Cecilia Monti,Patagonik Film Group,2000000.0,8597323.0,0,juan jose,argentina,drama,ricardo darin,espanol,adrian suar,juan jose,angel illarramendi,daniel shulman,cecilia monti,patagonik film,0.1306404289976661,-0.13493757087086472,-0.11963985446206772
174,Nirgendwo in Afrika,Caroline Link,Alemania,2002,Drama,141.0,"Juliane Köhler, Merab Ninidze",alemáningléssuajili,Peter Herrmann,"Caroline Link, Stefanie Zweig",Niki Reiser,Gernot Roll,Barbara Grupp,"MTM Medien & Television München, Constantin Film, Bavaria Film, Media Cooperation One",7000000.0,,1,caroline link,alemania,drama,juliane kohler,alemaninglessuajili,peter herrmann,caroline link,niki reiser,gernot roll,barbara grupp,mtm medien,0.6347992362595576,-0.13493576186006914,
175,El crimen del padre Amaro,Carlos Carrera,México,2002,Drama,118.0,"Gael García Bernal, Ana Claudia Talancón, Sancho Gracia, Angélica Aragón, Luisa Huertas, Pedro Armendáriz Jr.Ernesto Gómez Cruz, Gastón Melo, Damián Alcázar",Español,"Daniel Birman Ripstein, Alfredo Ripstein",Vicente Leñero,Rosino Serrano,Guillermo Granillo,María Estela Fernández,"Alameda Films, Artcam International, Blu Films, FOPROCINE",20870896000000.0,283642624000000.0,0,carlos carrera,mexico,drama,gael garcia,espanol,daniel birman,vicente lenero,rosino serrano,guillermo granillo,maria estela,alameda films,-0.009403684130637099,7.416196941048979,9.166085153770961
176,Hero,Zhang Yimou,China,2002,Drama,99.0,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Zhang Ziyi, Chen Daoming, Donnie Yen",Chino mandarín,Zhang Yimou,"Feng Li, Bin Wang, Zhang Yimou",Tan Dun,Christopher Doyle,Emi Wada,Sil-Metropole Organisation,,177395557.0,0,zhang yimou,china,drama,jet li,chino mandarin,zhang yimou,feng li,tan dun,christopher doyle,emi wada,sil-metropole organisation,-0.5415713140181893,,-0.11963432844482742
177,Un hombre sin pasado,Aki Kaurismäki,"Finlandia, Alemania, Francia",2002,Drama,93.0,"Markku Peltola, Kati Outinen, Annikki Tähti, Juhani NiemeläKaija Pakarinen",Finés,Aki Kaurismäki,Aki Kaurismäki,Leevi Madetoja,Timo Salminen,Outi Harjupatana,Sputnik Oy,,9564237.0,0,aki kaurismaki,finlandia,drama,markku peltola,fines,aki kaurismaki,aki kaurismaki,leevi madetoja,timo salminen,outi harjupatana,sputnik oy,-0.709624249772153,,-0.11963982280780626
178,Zus & Zo,Paula van der Oest,Países Bajos,2002,Comedia romántica,106.0,"Monic Hendrickx, Jacob Derwig, Halina Reijn, Anneke Blok, Theu Boermans, Annet Nieuwenhuyzen, Mike Reus, Marisa van Eyle, Lineke Rijxman, Annet Malherbe, Josine van Dalsum, Jappe Claes, Lore Dijkman, Marnie Blok, Johan Ooms, Marie Louise Stheins, Harry van Rijthoven",Neerlandés,,Paula van der Oest,Fons Merkies,,,,,,0,paula van,paises bajos,comedia romantica,monic hendrickx,neerlandes,,paula van,fons merkies,,,,-0.3455095556385647,,
179,Las invasiones bárbaras,Denys Arcand,CanadáFrancia,2003,Drama,99.0,"Rémy Girard, Stéphane Rousseau, Dorothée Berryman, Marie-Josée Croze, Louise Portal",Francés,"Daniel Louis, Denys Robert",Denys Arcand,Pierre Aviat,Guy Dufaux,Denis Sperdouklis,Canal+Canadian Film Development Corporation,5000000.0,,1,denys arcand,canadafrancia,drama,remy girard,frances,daniel louis,denys arcand,pierre aviat,guy dufaux,denis sperdouklis,canal+canadian film,-0.5415713140181893,-0.13493648546438738,
180,Ondskan,Mikael Håfström,"Suecia, Dinamarca",2003,Drama,114.0,Andreas Wilson  Linda Zilliacus  Henrik Lundström  Gustaf Skarsgård  Jesper Salén,"Sueco, Finlandés",,"Mikael Håfström, Hans Gunnarsson",Francis Shaw,Peter Mokrosinski,,,20000000.0,,0,mikael hafstrom,suecia,drama,andreas wilson,sueco,,mikael hafstrom,francis shaw,peter mokrosinski,,,-0.12143897463327964,-0.1349310584320006,
181,El ocaso del samurái,Yôji Yamada,Japón,2003,Drama,129.0,Hiroyuki Sanada Rie Miyazawa Nenji Kobayashi Ren Osugi Reiko Kusamura Min Tanaka Tetsuro Tamba,Japonés,,Yôji Yamada Yoshitaka Asama,Isao Tomita,Mutsuo Naganuma,,Shochiku Films,,7372769.0,0,yoji yamada,japon,drama,hiroyuki sanada,japones,,yoji yamada,isao tomita,mutsuo naganuma,,shochiku films,0.2986933647516299,,-0.11963989455079588
182,Mar adentro,Alejandro Amenábar,"España, Italia, Francia",2004,"Drama, Biográfica",125.0,"Javier Bardem, Belén Rueda, Lola Dueñas, Mabel Rivera, Celso Bugallo","Español, Gallego, Catalán","Fernando Bovaira, Alejandro Amenábar","Alejandro Amenábar, Mateo Gil","Alejandro Amenábar, Carlos Núñez",Javier Aguirresarobe,Sonia Grande,"Fine Line Features, New Line Cinema, Sogecine, Sogepaq, Himenóptero, Televisión Española, Canal+",10000000.0,1983747283.0,1,alejandro amenabar,espana,drama,javier bardem,espanol,fernando bovaira,alejandro amenabar,alejandro amenabar,javier aguirresarobe,sonia grande,fine line,0.18665807424898737,-0.13493467645359178,-0.11957519316513057
183,As It Is in Heaven,Kay Pollak,Suecia,2004,drama,132.0,"Michael Nyqvist, Frida Hallgren, Helen Sjöholm",suecoinglés,"Anders Birkeland, Göran Lindström","Kay Pollak, Ola Olsson, Carin Pollak, Margaretha Pollak, Anders Nyberg",Stefan Nilsson,Harald Paalgard,,"GF Studios, Sonet Film",,,0,kay pollak,suecia,drama,michael nyqvist,suecoingles,anders birkeland,kay pollak,stefan nilsson,harald paalgard,,gf studios,0.3827198326286118,,
184,Les Choristes,Christophe Barratier,Francia,2004,Drama,1.0,"Gérard Jugnot, Jean-Baptiste Maunier, François Berléand, Jacques Perrin, Maxence Perrin",Francés,"Arthur Cohn, Jacques Perrin, Gérard Jugnot","Christophe Barratier, Philippe Lopes-Curval","Bruno Coulais, Christophe Barratier","Carlo Varini, Dominique Gentil",,Galatée Films  Pathé Renn Productions  France 2 Cinéma  Novo Arturo Films,,,0,christophe barratier,francia,drama,gerard jugnot,frances,arthur cohn,christophe barratier,bruno coulais,carlo varini,,galatee films,-3.2864359313329317,,
185,Der Untergang,Oliver Hirschbiegel,Alemania,2004,Bélico,156.0,"Bruno Ganz, Alexandra Maria Lara, Corinna Harfouch, Ulrich Matthes, Juliane Köhler, Heino Ferch, Christian Berkel, Thomas Kretschmann",Alemán,Bernd Eichinger,Bernd Eichinger,Stephan Zacharias,Rainer Klausmann,,Newmarket Capital Group,13500000.0,92180910.0,0,oliver hirschbiegel,alemania,belico,bruno ganz,aleman,bernd eichinger,bernd eichinger,stephan zacharias,rainer klausmann,,newmarket capital,1.054931575644467,-0.13493341014603488,-0.11963711815178873
186,Yesterday,Darrell Roodt,Sudáfrica,2004,Ficción,96.0,"Leleti Khumalo, Lihle Mvelase Kenneth Kambule, Harriet Lehabe, Camilla Walker",Zulú,Videovision Entertainment,Darrell James Roodt,"Mpahleni Latozi, Smiles Makhama , The Beatles",Michael Brierley,,,,,0,darrell roodt,sudafrica,ficcion,leleti khumalo,zulu,videovision entertainment,darrell james,mpahleni latozi,michael brierley,,,-0.6255977818951711,,
187,Tsotsi,Gavin Hood,"Sudáfrica, Reino Unido",2005,Drama,94.0,Presley Chweneyagae,"isi, Zulu",Peter Fudakowski,Gavin Hood,"Vusi Mahlasela, Mark Kilian, Paul Hepker",Lance Gewer,,,3000000.0,9879971.0,1,gavin hood,sudafrica,drama,presley chweneyagae,isi,peter fudakowski,gavin hood,vusi mahlasela,lance gewer,,,-0.6816154271464924,-0.1349372090687056,-0.11963981247149238
188,Joyeux Noël,Christian Carion,Francia,2005,"Drama, historia, guerra",115.0,"Daniel Brühl, Guillaume Canet, Diane Kruger, Benno Fürmann, Gary Lewis, Bernard Le Coq, Suzanne Flon, Andy Serkis, Natalie Dessay, Rolando Villazón, Ignacio Soto",francés,Christopher Rossignon,Christian Carion,Philipe Rombi,Walter Vande Ende,,,,,0,christian carion,francia,drama,daniel bruhl,frances,christopher rossignon,christian carion,philipe rombi,walter vande,,,-0.093430152007619,,
189,Paradise Now,Hany Abu-Assad,"Israel, Francia, Alemania, Palestina, Países Bajos",2005,Drama,90.0,"Kais Nashef, Ali Suliman, Lubna Azabal, Amer Hlehel, Hiam Abbass",árabeinglés,Bero Beyer,"Hany Abu-Assad, Bero Beyer, Pierre Hodgson",,Antoine Héberlé,Walid Maw'ed,"Augustus Film, Lama Films, Razor Film, Lumen Films, Hazaza, HArte France Cinéma",,,0,hany abu-assad,israel,drama,kais nashef,arabeingles,bero beyer,hany abu-assad,,antoine heberle,walid maw'ed,augustus film,-0.793650717649135,,
190,Sophie Scholl - Los últimos días,Marc Rothemund,Alemania,2005,Drama,120.0,"Julia Jentsch, Fabian Hinrichs",Alemán,"Fred Breinersdorfer Sven Burgemeister, Christoph Müller Marc Rothermund",Fred Breinersdorfer,"Reinhold Heil, Johnny Klimek",Martin Langer,,"Goldkind Film, Broth Film, Bayerischer Rundfunk, Südwestrundfunk, Arte",,,0,marc rothemund,alemania,drama,julia jentsch,aleman,fred breinersdorfer,fred breinersdorfer,reinhold heil,martin langer,,goldkind film,0.04661396112068417,,
191,La vida de los otros,Florian Henckel von Donnersmarck,Alemania,2006,Drama,137.0,"Ulrich Mühe Martina Gedeck Sebastian Koch, Ulrich Tukur",alemán,"Quirin Berg, Max Wiedemann, Dirk Hamm",Florian Henckel von Donnersmarck,Gabriel Yared Stéphane Moucha,Hagen Bogdanski,,"Wiedemann & Berg, Bayerischer Rundfunk, ARTECreado Film",2000000.0,,1,florian henckel,alemania,drama,ulrich muhe,aleman,quirin berg,florian henckel,gabriel yared,hagen bogdanski,,wiedemann &,0.522763945756915,-0.13493757087086472,
192,Después de la boda,Susanne Bier,"Dinamarca, Suecia",2006,Drama,120.0,Mads Mikkelsen  Sidse Babett Knudsen,Inglés,Sisse Graum Olsen,"Susanne Bier, Anders Thomas Jensen",Johan Söderqvist,Morten Søborg,,"Zentropa, After the Wedding, Sigma Films",,,0,susanne bier,dinamarca,drama,mads mikkelsen,ingles,sisse graum,susanne bier,johan soderqvist,morten soborg,,zentropa,0.04661396112068417,,
193,Indigènes,Rachid Bouchareb,"Argelia, Francia, Marruecos, Bélgica",2006,Bélica,120.0,"Jamel Debbouze, Samy Nacéri, Sami Bouajila, Roschdy Zem, Bernard Blancan, Mathieu Simonet, Benoît Giros, Mélanie Laurent",francésárabe,"Jean Bréhat, Alexandre Lippens","Rachid Bouchareb, Olivier Lorelle",Armand Amar,Patrick Blossier,,Tessalit Productions,,,0,rachid bouchareb,argelia,belica,jamel debbouze,francesarabe,jean brehat,rachid bouchareb,armand amar,patrick blossier,,tessalit productions,0.04661396112068417,,
194,El laberinto del fauno,Guillermo del Toro,España,2006,Drama,119.0,"Ivana Baquero, Sergi López, Maribel VerdúDoug Jones",Español,"Bertha Navarro, Alfonso Cuarón, Frida TorresblancoÁlvaro Agustín",Guillermo del Toro,Javier Navarrete,Guillermo Navarro,Lala Huete,"Estudios Picasso, Wild Bunch, Telecinco, Tequila Gang, Esperanto Filmoj, Cafe FXICAA",13500000.0,87041569.0,0,guillermo del,espana,drama,ivana baquero,espanol,bertha navarro,guillermo del,javier navarrete,guillermo navarro,lala huete,estudios picasso,0.01860513849502354,-0.13493341014603488,-0.11963728640050969
195,Agua,Deepa Mehta,"India, Canadá",2006,Drama-romance,114.0,"Seema Biswas, Lisa Ray, John Abraham, Sarala Kariyawasam, Manorama",Hindi,David Hamilton,"Diipa Mehta, Anurag Kashyap","Mychael Danna, A. R. Rahman",Giles Nuttgens,,,,,0,deepa mehta,india,drama-romance,seema biswas,hindi,david hamilton,diipa mehta,mychael danna,giles nuttgens,,,-0.12143897463327964,,
196,Los falsificadores,Stefan Ruzowitzky,"Austria, Alemania",2007,"Policiaco, drama, bélico",95.0,Karl Markovics August Diehl Devid Striesow Martin Brambach August Zirner Veit Stübner Sebastian Urzendowsky Andreas Schmidt,alemán,Josef Aichholzer Nina Bohlmann Babette Schröder,Stefan Ruzowitzky.  Basado en la novela The Devil's Workshop de Adolf Burger,Marius Ruhland Hugo Díaz,Benedict Neuenfels,,Magnolia Filmproduktion Babelsberg Film Beta Cinema Filmförderung Hamburg Josef Aichholzer Filmproduktion Studio Babelsberg Motion Pictures Zweites Deutsches Fernsehen,,,1,stefan ruzowitzky,austria,drama,karl markovics,aleman,josef aichholzer,stefan ruzowitzky.,marius ruhland,benedict neuenfels,,magnolia filmproduktion,-0.6536066045208317,,
197,Katyn,Andrzej Wajda,Polonia,2007,Cine bélico,115.0,"Maja Ostaszewska, Artur Żmijewski, Paweł Małaszyński",polaco,Michał Kwieciński,"Andrzej Mularczyk, Andrzej Wajda, Przemysław Nowakowski",Krzysztof Penderecki,Paweł Edelman,Magdalena Biedrzycka,,,15000000.0,0,andrzej wajda,polonia,cine belico,maja ostaszewska,polaco,michal kwiecinski,andrzej mularczyk,krzysztof penderecki,pawel edelman,magdalena biedrzycka,,-0.093430152007619,,-0.11963964485499633
