Titulo,Director,Pais,Año,Genero,Duración (Minutos),Protagonistas,Idioma,Producción,Guion,Música,Fotografía,Vestuario,Productora,Presupuesto (Dólares),Recaudación (Dólares),Ganador
Belle Époque,Fernando Trueba,España,1993,Comedia romántica,108,"Ariadna Gil, Penélope Cruz, Maribel VerdúMiriam Díaz-Aroca, Jorge Sanz, Fernando Fernán Gómez, Gabino Diego, Agustín González, Chus Lampreave, Mary Carmen Ramírez",Español,Andrés Vicente Gómez,Rafael Azcona,Antoine Duhamel,José Luis Alcaine,Lala Huete,"Fernando Trueba PCLolafilms, Animatógrafo, French Production",,,1
Adiós a mi concubina,Chen Kaige,China,1993,Drama,171,"Leslie Cheung, Zhang Fengyi, Gong Li",Chino mandarín,Feng Hsu,"Lillian Lee, Lei Bik-Wa, Wei Lu",Zhao Ji-ping,Gu Changwei,Chen Chang-min,Beijing Film Studio,,6122607,0
El olor de la papaya verde,Trần Anh Hùng,Francia,1993,Drama,104,"Nu Yên-Khê Tran, Man San Lu, Thi Loc Truong, Anh Hoa Nguyen, Hoa Hoi Vuong, Ngoc Trung Tran, Vantha Talisman, Keo Souvannavong, Van Oanh Nguyen, Gerard Neth, Nhat Do, Thi Hai Vo, Thi Thanh Tra Nguyen",Vietnamita,Christophe Rossignon,Trần Anh Hùng,Tôn-Thât Tiêt,Benoît Delhomme,,,1700992,,0
El banquete de bodas,Ang Lee,"Taiwán, Estados Unidos",1993,Comedia,106,"Dion Birney, Jeanne Kuo Chang, Winston Chao, May Chin, Ah Lei Gua, Sihung Lung, Mitchell Lichtenstein",chino mandaríninglés,"Ang Lee, Ted Hope, James Schamus","Ang Lee, Neil Peng, James Schamus",Mader,Lin Jong,,Good Machine,,,0
Quemado por el sol,Nikita Mijalkov,Rusia,1994,Drama,152,"Oleg Ménshikov, Nikita Mijalkov, Ingeborga DapkūnaitėNadezhda Mijalkova",Ruso,"Nikita Mijalkov, Michel Seydoux","Rustam Ibraguimbékov, Nikita Mijalkov",Eduard Artémiev,Vilen Kalyuta,,"Tri, Te",2800000,,1
Antes de la lluvia,Milcho Manchevski,Macedonia del Norte,1994,Drama,113,"Katrin Cartlidge, Rade Šerbedžija, Phyllida Law, Grégoire Colin, Labina Mitevska, Meto Jovanovski, Daniel Newman, Jay Villiers",Inglés,"Judy Counihan, Cédomir Kolar, Sam Taylor, Cat Villiers",Milcho Manchevski,Anastasia,Manuel Mier y Terán,,"Noé Productions, Aim Rain Limited, Vardar Film",,,0
"Comer, beber, amar",Ang Lee,Taiwán,1994,"Comedia, romance, drama",123,"Lung Sihung, Wang Yu-wen, Wu Chien-lien, Yang Kuei-mei",Chino mandarín,"Kong Hsu, Li-Kong Hsu, Feng-Chyt Jiang","Ang Lee, James Schamus, Hui-Ling Wang",,Lin Jong,,,,24200000,0
Farinelli,Gérard Corbiau,Italia,1994,drama,111,"Stefano Dionisi, Enrico Lo Verso, Elsa Zylberstein",Italiano,Walther van den Ende,"Marcel Beaulieu, Andrée Corbiau, Gérard Corbiau",Christophe Rousset,Walther van den Ende,"Olga Berluti, Anne de Laugardière",,,,0
Fresa y chocolate,Tomás Gutiérrez Alea,,1994,Drama,108,"Jorge Perugorría, Vladimir Cruz, Mirtha Ibarra",español,Fernando Pérez O'Reilly,Senel Paz,José María Vitier,Mario García Joya,,,,,0
Antonia's Line,Marleen Gorris,Holanda,1995,Comedia,102,"Willeke van Ammelrooy, Els Dottermans, Victor Löw",Holandés,"Gerard Cornelisse, Hans De Weers, Hans de Wolf",Marleen Gorris,Ilona Sekacz,Willy Stassen,,,,,1
El cuarteto,Dustin Hoffman,Reino Unido,1995,Comedia,98,Maggie Smith Tom Courtenay  Billy Connolly  Pauline Collins  Michael Gambon,Inglés,Finola Dwyer  Stewart Mackinnon,Ronald Harwood,Dario Marianelli,John de Borman,,BBC Films,11000000,,0
L'uomo delle stelle,Giuseppe Tornatore,Italia,1995,Drama,113,"Sergio Castellitto, Tiziana Lodato",Italiano,Rita Cecchi Gori  Vittorio Cecchi Gori,Fabio Rinaudo  Giuseppe Tornatore,Ennio Morricone,Dante Spinotti,Beatrice Bordone,Cecchi Gori Group Tiger Cinematografica,,,0
Kolya,Jan Svěrák,República Checa,1996,Comedia dramática,105,"Zdeněk Svěrák, Andrej Chalimon, Libuše ŠafránkováOndřej VetchýStella ZázvorkováLadislav Smoljak",Checo,"Eric Abraham, Jan Svěrák","Pavel Taussig, Zdeněk Svěrák",Ondřej Soukup,Vladimír Smutný,Katarina Hollá,"Biograf Jan Svěrák, Portobello Pictures",,,1
El prisionero de las montañas,Sergéi Bodrov,Rusia,1996,Drama,98,"Oleg Menshikov Sergei Bodrov, Jr. Dzhemal Sikharulidze, Susanna Mekhralieva",rusoárabe,Boris Giller,"Boris Giller, Arif Aliyev, Sergei Bodrov",Leonid Desyatnikov,Pavel Lebeshev,,BG Productions,,661361,0
Ridicule,Patrice Leconte,Francia,1996,Comedia,102,"Charles Berling, Jean Rochefort, Fanny Ardant, Judith Godreche",francés,"Frédéric Brillion, Philippe Carcassonne, Gilles Legrand","Rémi Waterhouse, Michel Fessler, Eric Vicaut",Antoine Duhamel,Thierry Arbogast,Christian Gasc,,50000000,,0
Carácter,Mike van Diem,Países Bajos,1997,Drama,122,"Jan Decleir, Jonathan Maxwell Reeves, Fedja van Huêt, Victor Löw",Alemán,Laurens Geels,"Ferdinand Bordewijk, Mike van Diem",Paleis van Boem,Rogier Stoffers,,,,,1
Jenseits der Stille,Caroline Link,Alemania,1997,Drama,112,"Sylvie Testud, Howie Seago, Emmanuelle Laborit, Sibylle Canonica, Matthias Habich, Alexandra Bolz, Birge Schade",Alemán,"Jakob Claussen, Thomas Wöbke, Luggi Waldleitner","Caroline Link, Beth Serlin",Niki Reiser,Gernot Roll,Katharina von Martius,"Claussen & Wöbke Filmproduktion, Roxy Film",,,0
Cuatro días de septiembre,Bruno Barreto,"Brasil, Estados Unidos",1997,acción,110,"Claudia Abreu, Pedro Cardoso, Luis Fernando Guimaraes, Alan Arkin, Nelson Dantas, Fernanda Torres",portuguésinglés,"Lucy Barreto, Luiz Carlos Barreto","Leopoldo Serran, Fernando Gabeira","Stewart Copeland, Pietro Mascagni",Félix Monti,Emilia Duncan,,,1800000,0
Secretos del corazón,Montxo Armendáriz,España,1997,Drama,105,"Carmelo Gómez, Andoni Erburu, Charo López, Sílvia Munt  Joan Dalmau",Español,"Imanol Uribe, Andrés Santana",Montxo Armendáriz,Bingen Mendizabal,Javier Aguirresarobe,,Aiete Films y Ariane Films,1727000,,0
Vor: el ladrón,Pável Chujrái,Rusia,1997,Crímenes,96,"Vladimir Mashkov, Yekaterina Rednikova, Mikhail Filipchuk, Yury Belyayev",Ruso,"Igor Tolstunov, Sergey Kozlov",Pável Chujrái,Vladimir Dashkevich,Vladimir Klimov,Natalya Moneva,"NTV-Profit, Roissy Films, Productions Le Pont",,,0
La vida es bella,Roberto Benigni,Italia,1998,Drama,116,"Roberto Benigni Nicoletta Braschi, Giorgio Cantarini",Italiano,"Elda Ferri, Gianluigi Braschi","Roberto Benigni, Vincenzo Cerami","Nicola Piovani, Jacques Offenbach",Tonino Delli Colli,Danilo Donati,"Melampo Cinematografica, Cecchi Gori Group, Miramax",20000000,229163264,1
Central do Brasil,Walter Salles,"Brasil, Francia",1998,Drama,115,"Fernanda Montenegro, Marília Pêra Vinicius de Oliveira, Soia Lira","Portugués, Alemán",Videofilmes - MACT Productions,"Joáo Emanuel Carneiro, Marcos Bernstein","Antonio Pinto, Jaques Morelenbaum",Walter Carvalho,,,,22000000,0
Bacheha-Ye aseman,Majid Majidi,Irán,1998,drama,89,Amir Farrokh Hashemian Bahare Seddiqi,persa,Amir Esfandiari y Mohammad Esfandiari,Majid Majidi,,Parviz Malekzaade,,,150000,1628579,0
El abuelo,José Luis Garci,España,1998,Drama,146,"Fernando Fernán Gómez, Rafael Alonso, Cayetana Guillén Cuervo, Agustín González, Cristina Cruz Mínguez, Alicia Rozas, Fernando Guillén, Francisco Algora, Emma Cohen, María Massip, Antonio Valero, Francisco Piquer",Español,José Luis Garci,"José Luis Garci, Horacio Valcárcel",Manuel Balboa,Raúl Pérez Cubero,Gumersindo Andrés López,,,,0
Tango,Carlos Saura,España,1998,Musical,115,"25 personas, Miguel Ángel SoláCecilia Narova, Mía Maestro, Juan Carlos Copes, Carlos Rivarola, Sandra Ballesteros, Oscar Cardozo Ocampo, Enrique Pinti, Julio Bocca, Juan Luis Galiardo, Martín Seefeld, Néstor Marconi, Juanjo Domínguez, Horacio Salgán, Ubaldo de Lío, Antonio Agri, Sebastián Arce, Eduardo Cutuli, Mabel Pesen, Ricardo Díaz Mourelle, Julio Marticorena, Nora Zinski, Elvira Onetto, Cynthia Avila, Jorge Dorio",Español,Carlos Mentasti Luis A. Scalella,Carlos Saura,Lalo Schifrin,Vittorio Storaro,Beatriz De Benedetto,"Argentina Sono Film, Adela Pictures, Alma Ata International Pictures S.L.Hollywood Partners",4685408,1687311,0
Todo sobre mi madre,Pedro Almodóvar,España,1999,Comedia dramática,101,"Cecilia Roth, Marisa Paredes, Candela Peña, Antonia San Juan, Penélope Cruz",Español,"Pedro Almodóvar, Agustín Almodóvar",Pedro Almodóvar,Alberto Iglesias,Affonso Beato,Bina Daigeler,"El Deseo, Renn Productions, France 2 Cinéma, Vía Digital",4000000,67872296,1
La vida prometida,Olivier Dahan,Francia,1999,Drama,,"12 personas, Isabelle Huppert, Pascal Greggory, Maud Forget, Fabienne Babe, André Marcon, Abdelkader, Denis Braccini, Frédéric Maranber, Irène Ismaïloff, Janine Souchon, Louis-Do de Lencquesaing, Volker Marek",Francés,,,,,Gigi Lepage,,,,0
Wò hǔ cáng lóng,Ang Lee,"Taiwán, Hong Kong, China, Estados Unidos",2000,Wuxia,120,"Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chang Chen, Cheng Pei-pei",chino mandarín,"Li-Kong Hsu, William Kong, Ang Lee","Hui-Ling Wang, James Schamus, Kuo Jung Tsai, Wang Du Lu",Tan Dun,Peter Pau,Timmy Yip,"Columbia Pictures, Tri, Star Pictures",17000000,213500000,1
Amores Perros,Alejandro González Iñárritu,México,2000,Drama,154,"Emilio Echevarría, Gael García Bernal, Goya ToledoÁlvaro Guerrero",Español,Alejandro González Iñárritu,Guillermo Arriaga,Gustavo Santaolalla,Rodrigo Prieto,Gabriela Diaque,"Altavista Films, Zeta Films",2400000,20908467,0
Para todos los gustos,Agnès Jaoui,Francia,2000,Comedia dramática,112,"Agnès Jaoui, Jean-Pierre Bacri, Anne Alvaro, Alain Chabat, Gérard Lanvin, Brigitte Catillon, Christiane Millet",Francés,"Christian Bérard, Charles Gassot","Agnès Jaoui, Jean-Pierre Bacri",,Laurent Dailland,Jackie Budin,"Téléma, Les Films A4France 2 Cinéma",9000000,23600000,0
En tierra de nadie,Danis Tanović,"Bosnia y Herzegovina, Eslovenia, Bélgica, Francia, Italia, Reino Unido",2001,Bélico,98,"Branko Djuric, Rene Bitorajac, Filip Sovagovic, Katrin Cartlidge, Simon Callow, Serge-Henri Valche, Georges Siatidis","Bosnio, Serbio, Croata, Francés, Inglés, Alemán","Cédomir Kolar, Marc Baschet, Frédérique Dumas-Zajdela",Danis Tanović,Danis Tanović,Walther Vanden Ende,,"Fabrica, Man's Films, Studio Maj",14000000,,1
Amélie,Jean-Pierre Jeunet,Francia,2001,Comedia,122,"Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta",Francés,"Claudie Ossard, Arne Meerkamp van Embden",Guillaume Laurant,Yann Tiersen,Bruno Delbonnel,Madeline Fontaine,"Claudie Ossard Productions, Union Générale Cinématographique",77000000,174605902,0
Elling,Petter Naess,Noruega,2001,Comedia dramática,89,"Per Christian Ellefsen, Sven Nordin, Marit Pia Jacobsen, Jørgen Langhelle, Per Christensen",Noruego,Dag Alveberg,Axel Hellstenius,Lars Lillo-Stenberg,Svein Krøvel,,"Maipo Film- og TV Produksjon, TNT Film Productions",,,0
Lagaan,Ashutosh Gowariker,India,2001,"Drama, Musical.",224,"Aamir Khan, Paul Blackthorne",Hindi,"Aamir Khan, Jhamu Sughand","Ashutosh Gowariker, Kumar Dave, Sanjay Dayma, K. P. Saxena",A. R. Rahman,Anil Mehta,,Aamir Khan Productions,250000000,,0
El hijo de la novia,Juan José Campanella,Argentina,2001,"Drama, romance",123,"Ricardo Darín, Héctor Alterio, Norma Aleandro, Natalia Verbeke, Eduardo Blanco",español,Adrián Suar,Juan José Campanella  Fernando Castets,Ángel Illarramendi  Iván Wyszogrod,Daniel Shulman,Cecilia Monti,Patagonik Film Group,2000000,8597323,0
Nirgendwo in Afrika,Caroline Link,Alemania,2002,Drama,141,"Juliane Köhler, Merab Ninidze",alemáningléssuajili,Peter Herrmann,"Caroline Link, Stefanie Zweig",Niki Reiser,Gernot Roll,Barbara Grupp,"MTM Medien & Television München, Constantin Film, Bavaria Film, Media Cooperation One",7000000,,1
El crimen del padre Amaro,Carlos Carrera,México,2002,Drama,118,"Gael García Bernal, Ana Claudia Talancón, Sancho Gracia, Angélica Aragón, Luisa Huertas, Pedro Armendáriz Jr.Ernesto Gómez Cruz, Gastón Melo, Damián Alcázar",Español,"Daniel Birman Ripstein, Alfredo Ripstein",Vicente Leñero,Rosino Serrano,Guillermo Granillo,María Estela Fernández,"Alameda Films, Artcam International, Blu Films, FOPROCINE",20870896000000,283642624000000,0
Hero,Zhang Yimou,China,2002,Drama,99,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Zhang Ziyi, Chen Daoming, Donnie Yen",Chino mandarín,Zhang Yimou,"Feng Li, Bin Wang, Zhang Yimou",Tan Dun,Christopher Doyle,Emi Wada,Sil-Metropole Organisation,,177395557,0
Un hombre sin pasado,Aki Kaurismäki,"Finlandia, Alemania, Francia",2002,Drama,93,"Markku Peltola, Kati Outinen, Annikki Tähti, Juhani NiemeläKaija Pakarinen",Finés,Aki Kaurismäki,Aki Kaurismäki,Leevi Madetoja,Timo Salminen,Outi Harjupatana,Sputnik Oy,,9564237,0
Zus & Zo,Paula van der Oest,Países Bajos,2002,Comedia romántica,106,"17 personas, Monic Hendrickx, Jacob Derwig, Halina Reijn, Anneke Blok, Theu Boermans, Annet Nieuwenhuyzen, Mike Reus, Marisa van Eyle, Lineke Rijxman, Annet Malherbe, Josine van Dalsum, Jappe Claes, Lore Dijkman, Marnie Blok, Johan Ooms, Marie Louise Stheins, Harry van Rijthoven",Neerlandés,,Paula van der Oest,Fons Merkies,,,,,,0
Las invasiones bárbaras,Denys Arcand,CanadáFrancia,2003,Drama,99,"Rémy Girard, Stéphane Rousseau, Dorothée Berryman, Marie-Josée Croze, Louise Portal",Francés,"Daniel Louis, Denys Robert",Denys Arcand,Pierre Aviat,Guy Dufaux,Denis Sperdouklis,Canal+Canadian Film Development Corporation,5000000,,1
Ondskan,Mikael Håfström,"Suecia, Dinamarca",2003,Drama,114,Andreas Wilson  Linda Zilliacus  Henrik Lundström  Gustaf Skarsgård  Jesper Salén,"Sueco, Finlandés",,"Mikael Håfström, Hans Gunnarsson",Francis Shaw,Peter Mokrosinski,,,20000000,,0
El ocaso del samurái,Yôji Yamada,Japón,2003,Drama,129,Hiroyuki Sanada Rie Miyazawa Nenji Kobayashi Ren Osugi Reiko Kusamura Min Tanaka Tetsuro Tamba,Japonés,,Yôji Yamada Yoshitaka Asama,Isao Tomita,Mutsuo Naganuma,,Shochiku Films,,7372769,0
Mar adentro,Alejandro Amenábar,"España, Italia, Francia",2004,"Drama, Biográfica",125,"Javier Bardem, Belén Rueda, Lola Dueñas, Mabel Rivera, Celso Bugallo","Español, Gallego, Catalán","Fernando Bovaira, Alejandro Amenábar","Alejandro Amenábar, Mateo Gil","Alejandro Amenábar, Carlos Núñez",Javier Aguirresarobe,Sonia Grande,"Fine Line Features, New Line Cinema, Sogecine, Sogepaq, Himenóptero, Televisión Española, Canal+",10000000,1983747283,1
As It Is in Heaven,Kay Pollak,Suecia,2004,drama,132,"Michael Nyqvist, Frida Hallgren, Helen Sjöholm",suecoinglés,"Anders Birkeland, Göran Lindström","Kay Pollak, Ola Olsson, Carin Pollak, Margaretha Pollak, Anders Nyberg",Stefan Nilsson,Harald Paalgard,,"GF Studios, Sonet Film",,,0
Les Choristes,Christophe Barratier,Francia,2004,Drama,1,"Gérard Jugnot, Jean-Baptiste Maunier, François Berléand, Jacques Perrin, Maxence Perrin",Francés,"Arthur Cohn, Jacques Perrin, Gérard Jugnot","Christophe Barratier, Philippe Lopes-Curval","Bruno Coulais, Christophe Barratier","Carlo Varini, Dominique Gentil",,Galatée Films  Pathé Renn Productions  France 2 Cinéma  Novo Arturo Films,,,0
Der Untergang,Oliver Hirschbiegel,Alemania,2004,Bélico,156,"Bruno Ganz, Alexandra Maria Lara, Corinna Harfouch, Ulrich Matthes, Juliane Köhler, Heino Ferch, Christian Berkel, Thomas Kretschmann",Alemán,Bernd Eichinger,Bernd Eichinger,Stephan Zacharias,Rainer Klausmann,,Newmarket Capital Group,13500000,92180910,0
Yesterday,Darrell Roodt,Sudáfrica,2004,Ficción,96,"Leleti Khumalo, Lihle Mvelase Kenneth Kambule, Harriet Lehabe, Camilla Walker",Zulú,Videovision Entertainment,Darrell James Roodt,"Mpahleni Latozi, Smiles Makhama , The Beatles",Michael Brierley,,,,,0
Tsotsi,Gavin Hood,"Sudáfrica, Reino Unido",2005,Drama,94,Presley Chweneyagae,"isi, Zulu",Peter Fudakowski,Gavin Hood,"Vusi Mahlasela, Mark Kilian, Paul Hepker",Lance Gewer,,,3000000,9879971,1
Joyeux Noël,Christian Carion,Francia,2005,"Drama, historia, guerra",115,"Daniel Brühl, Guillaume Canet, Diane Kruger, Benno Fürmann, Gary Lewis, Bernard Le Coq, Suzanne Flon, Andy Serkis, Natalie Dessay, Rolando Villazón, Ignacio Soto",francés,Christopher Rossignon,Christian Carion,Philipe Rombi,Walter Vande Ende,,,,,0
Paradise Now,Hany Abu-Assad,"Israel, Francia, Alemania, Palestina, Países Bajos",2005,Drama,90,"Kais Nashef, Ali Suliman, Lubna Azabal, Amer Hlehel, Hiam Abbass",árabeinglés,Bero Beyer,"Hany Abu-Assad, Bero Beyer, Pierre Hodgson",,Antoine Héberlé,Walid Maw'ed,"Augustus Film, Lama Films, Razor Film, Lumen Films, Hazaza, HArte France Cinéma",,,0
Sophie Scholl - Los últimos días,Marc Rothemund,Alemania,2005,Drama,120,"Julia Jentsch, Fabian Hinrichs",Alemán,"Fred Breinersdorfer Sven Burgemeister, Christoph Müller Marc Rothermund",Fred Breinersdorfer,"Reinhold Heil, Johnny Klimek",Martin Langer,,"Goldkind Film, Broth Film, Bayerischer Rundfunk, Südwestrundfunk, Arte",,,0
